sep=,
"Region","Family","Source VM","OS","Lifecycle","Current recommendation","Current type","Simple recommendation","Simple outcome","Same target","Source hourly","Current hourly","Simple hourly","Currency","Simple reason"
"uksouth","standardEDSv5Family","Standard_E2ds_v5","linux","previousGeneration","Standard_E2ds_v5","KEEP","Standard_E2s_v3","cost-optimization","No","0.128","0.128","0.1182","GBP","Cost optimization: 7.7% cheaper with equivalent capabilities"
"uksouth","StandardEdsv6Family","Standard_E2ds_v6","linux","current","Standard_E2ds_v6","KEEP","Standard_E2s_v3","cost-optimization","No","0.1455","0.1455","0.1182","GBP","Cost optimization: 18.8% cheaper with equivalent capabilities"
"uksouth","standardEDv4Family","Standard_E2d_v4","linux","previousGeneration","Standard_E2d_v5","PERFORMANCE_UPGRADE","Standard_E2_v3","cost-optimization","No","0.128","0.128","0.1182","GBP","Cost optimization: 7.7% cheaper with equivalent capabilities"
"uksouth","standardEDv5Family","Standard_E2d_v5","linux","previousGeneration","Standard_E2d_v5","KEEP","Standard_E2_v3","cost-optimization","No","0.128","0.128","0.1182","GBP","Cost optimization: 7.7% cheaper with equivalent capabilities"
"uksouth","standardEIADSv5Family","Standard_E112iads_v5","linux","previousGeneration","Standard_E112iads_v5","KEEP","Standard_E112iads_v5","keep","Yes","7.1866","7.1866","7.1866","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEIASv4Family","Standard_E96ias_v4","linux","previousGeneration","Standard_E96ias_v4","KEEP","Standard_E96ias_v4","keep","Yes","","","","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEIASv5Family","Standard_E112ias_v5","linux","previousGeneration","Standard_E112ias_v5","KEEP","Standard_E112ias_v5","keep","Yes","6.2071","6.2071","6.2071","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEIBDSv5Family","Standard_E112ibds_v5","linux","previousGeneration","Standard_E112ibds_v5","KEEP","Standard_E112ibds_v5","keep","Yes","9.217","9.217","9.217","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEIBSv5Family","Standard_E112ibs_v5","linux","previousGeneration","Standard_E112ibs_v5","KEEP","Standard_E112ibs_v5","keep","Yes","8.2367","8.2367","8.2367","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEIDSv5Family","Standard_E104ids_v5","linux","previousGeneration","Standard_E104ids_v5","KEEP","Standard_E104ids_v5","keep","Yes","7.3238","7.3238","7.3238","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEIDv5Family","Standard_E104id_v5","linux","previousGeneration","Standard_E104id_v5","KEEP","Standard_E104id_v5","keep","Yes","7.3238","7.3238","7.3238","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEISv5Family","Standard_E104is_v5","linux","previousGeneration","Standard_E104is_v5","KEEP","Standard_E104is_v5","keep","Yes","6.4139","6.4139","6.4139","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEIv5Family","Standard_E104i_v5","linux","previousGeneration","Standard_E104i_v5","KEEP","Standard_E104i_v5","keep","Yes","6.4139","6.4139","6.4139","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardEndv6Family","Standard_E2nds_v6","linux","current","Standard_E2nds_v6","KEEP","Standard_E2s_v3","cost-optimization","No","0.1849","0.1849","0.1182","GBP","Cost optimization: 36.1% cheaper with equivalent capabilities"
"uksouth","StandardEnv6Family","Standard_E2ns_v6","linux","current","Standard_E2ns_v6","KEEP","Standard_E2s_v5","cost-optimization","No","0.1652","0.1652","0.1121","GBP","Cost optimization: 32.1% cheaper with equivalent capabilities"
"uksouth","standardEPDSv5Family","Standard_E2pds_v5","linux","current","Standard_E2pds_v5","KEEP","Standard_E2pds_v5","keep","Yes","0.1023","0.1023","0.1023","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardEpdsv6Family","Standard_E2pds_v6","linux","current","Standard_E2pds_v6","KEEP","Standard_E2pds_v6","keep","Yes","0.1023","0.1023","0.1023","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEPSv5Family","Standard_E2ps_v5","linux","current","Standard_E2ps_v6","COST_OPTIMIZATION","Standard_E2ps_v5","keep","No","0.0894","0.0803","0.0894","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardEpsv6Family","Standard_E2ps_v6","linux","current","Standard_E2ps_v6","KEEP","Standard_E2ps_v6","keep","Yes","0.0803","0.0803","0.0803","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardESv3Family","Standard_E2s_v3","linux","previousGeneration","Standard_E2s_v5","PERFORMANCE_UPGRADE","Standard_E2s_v3","keep","No","0.1182","0.1121","0.1182","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardESv4Family","Standard_E2s_v4","linux","previousGeneration","Standard_E2s_v4","KEEP","Standard_E2s_v4","keep","Yes","0.1121","0.1121","0.1121","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardESv5Family","Standard_E2s_v5","linux","previousGeneration","Standard_E2s_v5","KEEP","Standard_E2s_v5","keep","Yes","0.1121","0.1121","0.1121","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardEsv6Family","Standard_E2s_v6","linux","current","Standard_E2s_v6","KEEP","Standard_E2s_v5","cost-optimization","No","0.1174","0.1174","0.1121","GBP","Cost optimization: 4.5% cheaper with equivalent capabilities"
"uksouth","standardEv3Family","Standard_E2_v3","linux","previousGeneration","Standard_E2_v4","PERFORMANCE_UPGRADE","Standard_E2_v3","keep","No","0.1182","0.1121","0.1182","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEv4Family","Standard_E2_v4","linux","previousGeneration","Standard_E2_v5","PERFORMANCE_UPGRADE","Standard_E2_v4","keep","No","0.1121","0.1121","0.1121","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEv5Family","Standard_E2_v5","linux","previousGeneration","Standard_E2_v5","KEEP","Standard_E2_v5","keep","Yes","0.1121","0.1121","0.1121","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardFadsv7Family","Standard_F1ads_v7","linux","current","Standard_F1ads_v7","KEEP","Standard_F1ads_v7","keep","Yes","0.0755","0.0755","0.0755","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardFaldsv7Family","Standard_F1alds_v7","linux","current","Standard_F1alds_v7","KEEP","Standard_F1alds_v7","keep","Yes","0.063","0.063","0.063","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardFalsv6Family","Standard_F2als_v6","linux","previousGeneration","Standard_F2als_v7","PERFORMANCE_UPGRADE","Standard_F2als_v6","keep","No","0.1068","0.1068","0.1068","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardFalsv7Family","Standard_F1als_v7","linux","current","Standard_F1als_v7","KEEP","Standard_F1als_v7","keep","Yes","0.0533","0.0533","0.0533","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardFamdsv7Family","Standard_F1amds_v7","linux","current","Standard_F1amds_v7","KEEP","Standard_F1amds_v7","keep","Yes","0.0962","0.0962","0.0962","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardFamsv6Family","Standard_F2ams_v6","linux","previousGeneration","Standard_F2ams_v7","PERFORMANCE_UPGRADE","Standard_F2ams_v6","keep","No","0.1576","0.1576","0.1576","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardFamsv7Family","Standard_F1ams_v7","linux","current","Standard_F1ams_v7","KEEP","Standard_F1ams_v7","keep","Yes","0.0788","0.0788","0.0788","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardFasv6Family","Standard_F2as_v6","linux","previousGeneration","Standard_F2as_v7","PERFORMANCE_UPGRADE","Standard_F2as_v6","keep","No","0.1205","0.1205","0.1205","GBP","Keep current VM: supported and no cheaper compatible replacement"
