"Region","Source VM","OS","CPU policy","Status","Recommended VM","Source hourly","Recommended hourly","Monthly saving","Saving %","Currency","Confidence","Explanation"
"uksouth","Standard_D48plds_v5","linux","same-vendor","recommended","Standard_D48pds_v5","1.6728","1.8948","-162.06","-13.271162","GBP","Medium","required usable CPU and memory preserved, Arm64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 13.3% higher PAYG price."
"uksouth","Standard_D48plds_v5","linux","prefer-same-vendor","recommended","Standard_D48pds_v5","1.6728","1.8948","-162.06","-13.271162","GBP","Medium","required usable CPU and memory preserved, Arm64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 13.3% higher PAYG price."
"uksouth","Standard_D48plds_v5","linux","any-compatible","recommended","Standard_D48pds_v5","1.6728","1.8948","-162.06","-13.271162","GBP","Medium","required usable CPU and memory preserved, Arm64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 13.3% higher PAYG price."
"uksouth","Standard_D48plds_v6","linux","same-vendor","recommended","Standard_D48pls_v6","1.6364","1.3016","244.404","20.459545","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 20.5% lower PAYG price."
"uksouth","Standard_D48plds_v6","linux","prefer-same-vendor","recommended","Standard_D48pls_v6","1.6364","1.3016","244.404","20.459545","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 20.5% lower PAYG price."
"uksouth","Standard_D48plds_v6","linux","any-compatible","recommended","Standard_D48pls_v6","1.6364","1.3016","244.404","20.459545","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 20.5% lower PAYG price."
"uksouth","Standard_D48pls_v5","linux","same-vendor","recommended","Standard_D48pls_v6","1.469","1.3016","122.202","11.395507","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 11.4% lower PAYG price."
"uksouth","Standard_D48pls_v5","linux","prefer-same-vendor","recommended","Standard_D48pls_v6","1.469","1.3016","122.202","11.395507","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 11.4% lower PAYG price."
"uksouth","Standard_D48pls_v5","linux","any-compatible","recommended","Standard_D48pls_v6","1.469","1.3016","122.202","11.395507","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 11.4% lower PAYG price."
"uksouth","Standard_D48pls_v6","linux","same-vendor","recommended","Standard_D48plds_v6","1.3016","1.6364","-244.404","-25.722188","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 25.7% higher PAYG price."
"uksouth","Standard_D48pls_v6","linux","prefer-same-vendor","recommended","Standard_D48plds_v6","1.3016","1.6364","-244.404","-25.722188","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 25.7% higher PAYG price."
"uksouth","Standard_D48pls_v6","linux","any-compatible","recommended","Standard_D48plds_v6","1.3016","1.6364","-244.404","-25.722188","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 25.7% higher PAYG price."
"uksouth","Standard_D48ps_v5","linux","same-vendor","recommended","Standard_D48ps_v6","1.6145","1.4728","103.441","8.776711","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 8.8% lower PAYG price."
"uksouth","Standard_D48ps_v5","linux","prefer-same-vendor","recommended","Standard_D48ps_v6","1.6145","1.4728","103.441","8.776711","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 8.8% lower PAYG price."
"uksouth","Standard_D48ps_v5","linux","any-compatible","recommended","Standard_D48ps_v6","1.6145","1.4728","103.441","8.776711","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 8.8% lower PAYG price."
